구절	교정전	교정후
Joshua 19:3	Hazar-shual,	Hazarshual,
Joshua 19:5	Beth-marcaboth,	Bethmarcaboth,
Joshua 19:5	Hazar-susah,	Hazarsusah,
Joshua 19:6	Beth-lebaoth,	Bethlebaoth,
Joshua 19:8	Baalath-beer,	Baalathbeer,
Joshua 19:12	Chisloth-tabor,	Chislothtabor,
Joshua 19:13	Gittah-hepher,	Gittahhepher,
Joshua 19:13	Ittah-kazin,	Ittahkazin,
Joshua 19:13	Remmon-methoar	Remmonmethoar
Joshua 19:14	Jiphthah-el:	Jiphthahel:
Joshua 19:15	Beth-lehem:	Bethlehem:
Joshua 19:19	Haphraim,	Hapharaim,
Joshua 19:21	En-gannim,	Engannim,
Joshua 19:21	En-haddah,	Enhaddah,
Joshua 19:21	Beth-pazzez;	Bethpazzez;
Joshua 19:22	Beth-shemesh;	Bethshemesh;
Joshua 19:26	Shihor-libnath;	Shihorlibnath;
Joshua 19:27	Beth-dagon,	Bethdagon,
Joshua 19:27	Jiphthah-el	Jiphthahel
Joshua 19:27	Beth-emek,	Bethemek,
Joshua 19:34	Aznoth-tabor,	Aznothtabor,
Joshua 19:37	En-hazor,	Enhazor,
Joshua 19:38	Migdal-el,	Migdalel,
Joshua 19:38	Beth-anath,	Bethanath,
Joshua 19:38	Beth-shemesh;	Bethshemesh;
Joshua 19:41	Ir-shemesh,	Irshemesh,
Joshua 19:45	Bene-berak,	Beneberak,
Joshua 19:45	Gath-rimmon,	Gathrimmon,
Joshua 19:46	Me-jarkon,	Mejarkon,
Joshua 19:50	Timnath-serah	Timnathserah
Joshua 20:7	Kirjath-arba,	Kirjatharba,
Joshua 21:10	their's	theirs
Joshua 21:16	Beth-shemesh	Bethshemesh
Joshua 21:22	Beth-horon	Bethhoron
Joshua 21:24	Gath-rimmon	Gathrimmon
Joshua 21:25	Gath-rimmon	Gathrimmon
Joshua 21:27	Beesh-terah	Beeshterah
Joshua 21:29	En-gannim	Engannim
Joshua 21:32	Hammoth-dor	Hammothdor
Joshua 24:30	Timnath-serah,	Timnathserah,
Judges 1:5	Adoni-bezek	Adonibezek
Judges 1:6	Adoni-bezek	Adonibezek
Judges 1:7	Adoni-bezek	Adonibezek
Judges 1:10	Kirjath-arba:)	Kirjatharba:)
Judges 1:11	Kirjath-sepher:	Kirjathsepher:
Judges 1:12	Kirjath-sepher,	Kirjathsepher,
Judges 1:22	Beth-el:	Bethel:
Judges 1:23	Beth-el.	Bethel.
Judges 1:27	Beth-shean	Bethshean
Judges 1:33	Beth-shemesh,	Bethshemesh,
Judges 1:33	Beth-anath;	Bethanath;
Judges 1:33	Beth-shemesh	Bethshemesh
Judges 1:33	Beth-anath	Bethanath
Judges 2:9	Timnath-heres,	Timnathheres,
Judges 3:3	Baal-hermon	Baalhermon
Judges 3:8	Chushan-rishathaim	Chushanrishathaim
Judges 3:8	Chushan-rishathaim	Chushanrishathaim
Judges 3:10	Chushan-rishathaim	Chushanrishathaim
Judges 3:10	Chushan-rishathaim.	Chushanrishathaim.
Judges 4:5	Beth-el	Bethel
Judges 4:6	Kedesh-naphtali,	Kedeshnaphtali,
Judges 6:24	Jehovah-shalom:	Jehovahshalom:
Judges 7:22	Beth-shittah	Bethshittah
Judges 7:22	Abel-meholah,	Abelmeholah,
Judges 7:24	Beth-barah	Bethbarah
Judges 7:24	Beth-barah	Bethbarah
Judges 8:33	Baal-berith	Baalberith
Judges 9:4	Baal-berith,	Baalberith,
Judges 10:4	Havoth-jair	Havothjair
Judges 12:8	Beth-lehem	Bethlehem
Judges 12:10	Beth-lehem.	Bethlehem.
Judges 15:17	Ramath-lehi.	Ramathlehi.
Judges 15:19	En-hakkore,	Enhakkore,
Judges 17:7	Beth-lehem-judah	Bethlehemjudah
Judges 17:8	Beth-lehem-judah	Bethlehemjudah
Judges 17:9	Beth-lehem-judah,	Bethlehemjudah,
Judges 18:12	Kirjath-jearim,	Kirjathjearim,
Judges 18:12	Mahaneh-dan	Mahanehdan
Judges 18:12	Kirjath-jearim.	Kirjathjearim.
Judges 18:28	Beth-rehob.	Bethrehob.
Judges 19:1	Beth-lehem-judah.	Bethlehemjudah.
Judges 19:2	Beth-lehem-judah,	Bethlehemjudah,
Judges 19:18	Beth-lehem-judah	Bethlehemjudah
Judges 19:18	Beth-lehem-judah,	Bethlehemjudah,
Judges 20:1	Beer-sheba,	Beersheba,
Judges 20:33	Baal-tamar:	Baaltamar:
Judges 21:8	Jabesh-gilead	Jabeshgilead
Judges 21:9	Jabesh-gilead	Jabeshgilead
Judges 21:10	Jabesh-gilead	Jabeshgilead
Judges 21:12	Jabesh-gilead	Jabeshgilead
Judges 21:14	Jabesh-gilead:	Jabeshgilead:
Judges 21:19	Beth-el,	Bethel,
Judges 21:19	Beth-el	Bethel
Ruth 1:1	Beth-lehem-judah	Bethlehemjudah
Ruth 1:2	Beth-lehem-judah.	Bethlehemjudah.
Ruth 1:19	Beth-lehem.	Bethlehem.
Ruth 1:19	Beth-lehem,	Bethlehem,
Ruth 1:22	Beth-lehem	Bethlehem
Ruth 2:4	Beth-lehem,	Bethlehem,
Ruth 4:11	Beth-lehem:	Bethlehem:
1 Samuel 1:1	Ramathaim-zophim,	Ramathaimzophim,
1 Samuel 3:20	Beer-sheba	Beersheba
1 Samuel 4:1	Eben-ezer:	Ebenezer:
1 Samuel 4:21	I-chabod,	Ichabod,
1 Samuel 5:1	Eben-ezer	Ebenezer
1 Samuel 6:9	Beth-shemesh,	Bethshemesh,
1 Samuel 6:12	Beth-shemesh,	Bethshemesh,
1 Samuel 6:12	Beth-shemesh.	Bethshemesh.
1 Samuel 6:13	Beth-shemesh	Bethshemesh
1 Samuel 6:14	Beth-shemite,	Bethshemite,
1 Samuel 6:15	Beth-shemesh	Bethshemesh
